	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_2289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	30	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2290	19	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2291	2	0	0	1	0	0	0	5	0	0	6	1	0	5	0	1	6	0	0	0	0	1	2	1	0	0	2	5	0	0	3	1	0	0	0	0	7	5	4	1	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_2292	0	5	0	5	0	0	0	0	0	0	3	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2293	0	0	0	0	0	0	0	0	0	0	6	0	12	13	6	7	1	0	0	0	1	0	0	1	0	0	4	2	1	0	1	1	0	0	0	0	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2294	0	0	0	0	0	0	0	0	0	0	6	0	1	8	0	0	4	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	0	0	0	0	7	0	0	5	9	10	0	0	0	1	2	6	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2295	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	9	4	1	0	0	0	13	11	5	8	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_2296	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	3	6	0	0	0	0	0	0	0	0	0	8	10	7	2	5	6	0	0	0	0	0	0	0	3	3	2	0	0	1	0	0	0	0	0	1	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	29	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	0	0	0	0	0	0	0	0	1	1	12	18	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	14	11	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	22	0	0	0	0	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	26	2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2303	0	8	21	23	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_2304	0	0	0	0	22	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2305	0	0	0	0	0	0	3	0	0	2	1	0	0	0	9	6	0	0	0	0	3	1	2	2	0	0	1	0	0	2	0	0	0	0	0	0	5	0	5	4	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2306	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	4	8	0	4	0	0	0	0	0	0	0	0	3	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	10	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2307	0	0	0	0	0	0	0	0	0	0	22	0	4	7	9	8	8	0	0	0	0	0	0	0	0	0	2	4	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2308	0	0	0	0	0	0	0	0	0	0	15	0	17	16	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	4	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2309	0	0	0	0	0	0	0	0	0	0	4	0	3	0	5	5	11	0	0	0	0	0	0	0	0	0	17	10	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2310	0	0	0	0	0	0	0	0	0	0	2	0	4	1	15	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	18	28	14	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	22	25	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	28	17	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	23	28	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2316	8	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	1	0	0	0	6	4	2	0	1	3	0	0	0	0	9	6	0	2	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2317	7	0	0	9	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	2	0	1	1	1	0	2	0	0	0	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2318	0	11	10	21	1	0	0	1	1	1	0	8	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2319	0	5	15	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2320	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	2	0	0	0	0	1	0	0	0	10	0	8	22	6	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2321	0	1	4	13	0	0	0	0	0	0	0	0	0	0	2	0	1	5	0	2	0	0	0	0	0	0	1	6	2	0	0	0	0	0	0	0	2	2	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2322	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	20	10	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ASV_2323	0	0	0	0	8	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	8	0	0	0	0
ASV_2324	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	13	7	5	0	0	0	0	0	0	0	4	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV_2325	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	0	0	0	13	18	12	0	0	0	0	0	0	0	3	4	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2326	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	32	28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	5	5	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	5	4	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	22	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	26	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2332	18	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	10	15	9	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	1	1	0	16	10	25	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2334	0	17	4	23	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	1	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2335	0	3	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2336	0	3	0	0	0	0	0	0	0	0	4	0	0	0	8	15	19	0	0	0	0	0	0	0	0	0	0	2	2	1	6	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2337	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	7	0	5	0	0	0	0	0	0	0	5	4	0	0	0	4	5	5	2	0	1	0	0	2	0	0	0	0	1	2	7	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2338	0	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	17	3	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2339	0	0	0	0	0	0	0	0	0	0	8	0	9	13	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2340	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	5	4	4	0	0	1	2	5	3	2	8	5	7	0	0	0	0	2	2	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	9	8	5	1	0	0	0	1	2	2	9	3	16	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2343	1	5	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	13	12	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2344	0	5	0	8	0	0	0	0	0	2	0	3	0	0	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	1	6	3	5	5	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2345	0	5	8	7	0	0	0	0	0	0	3	0	3	9	1	4	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	1	2	1	3	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2346	0	1	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	8	3	0	0	0	0	3	0	0	5	11	12	2	0	0	0	5	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2347	0	0	0	3	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	8	10	8	0	1	9	0	0	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2348	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	3	5	2	4	2	4	0	0	16	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2349	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	2	0	0	0	0	6	5	7	0	2	0	0	0	0	0	5	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2350	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	7	5	13	0	0	1	0	0	0	0	12	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_2351	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	7	0	2	8	1	0	0	0	0	0	0	0	0	0	1	0	6	11	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	5	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	2	2	4	2	1	0	0	0	0	0	4	0	0	4	13	0	0	0	3	2	0	0	0	0	0	10	0	0	1	0	1	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	4	0	0	0	0	9	9	25	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	8	3	6	5	4	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2356	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	20	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2357	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	6	12	14	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2358	0	6	1	2	0	0	0	1	0	0	2	0	3	2	2	0	0	0	0	0	0	1	0	0	0	0	8	4	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	11	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2359	0	0	0	0	0	0	0	0	0	0	7	0	6	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	23	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2360	0	0	0	0	0	0	0	0	0	0	3	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	15	6	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2361	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	5	23	0	0	0	0	0	0	0	0	0	0	0	2	2	8	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	16	10	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3	9	5	4	0	2	5	0	8	5	4	6	3	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	7	0	0	0	0	0	0	32	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	27	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2367	6	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2368	3	0	0	0	0	0	1	0	2	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	23	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2369	0	13	8	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2370	0	5	7	5	0	0	0	0	0	0	4	0	1	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	0	0	0	5	0	0	0	0	1	0	0	1	2	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2371	0	2	0	4	0	0	0	0	0	0	0	0	0	0	19	12	18	0	0	0	0	0	0	0	0	0	2	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2372	0	0	0	0	0	0	0	0	2	0	0	0	3	0	9	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	0	0	0	7	0	0	2	0	0	0	0	0	0	3	3	3	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2373	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	7	8	11	3	7	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2374	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	4	6	23	13	0	0	0	0	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2375	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	11	0	5	0	0	2	0	0	1	6	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	1	0	0	0	1	0	0	0	0	0	0	0	4	16	12	1	4	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	7	0	0	0	4	1	0	1	2	8	3	8	5	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	16	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2379	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	17	14	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2380	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	3	9	5	0	1	0	0	0	0	0	5	4	9	2	2	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	1	0	0	0	0
