	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_983	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	43	0	38	0	0	0	0	0	0	0	0	4	0	0	3	132	70	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_984	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	36	33	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	34	33	0	0	0	0	17	20	15	41	37	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_985	0	0	0	4	0	0	3	3	0	0	5	0	21	24	2	3	6	1	0	0	8	8	8	7	0	0	15	15	1	1	10	9	2	3	3	1	22	9	13	35	31	35	2	0	5	2	3	11	8	12	8	24	4	6	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_986	0	0	0	0	0	0	0	0	0	0	1	0	0	3	59	98	118	0	0	0	0	0	0	0	0	0	0	0	0	23	46	52	0	0	0	0	0	0	3	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_987	0	0	0	0	0	0	0	0	0	0	14	0	7	24	72	61	144	0	0	0	0	0	0	0	0	0	26	14	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	4	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_988	0	0	0	1	0	0	0	0	0	0	16	0	2	6	1	4	8	0	0	0	0	0	0	1	0	0	8	8	7	0	0	1	0	4	0	0	3	4	4	0	0	0	2	0	2	2	75	69	51	32	16	55	4	2	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_989	0	0	0	0	73	112	133	0	0	0	0	0	0	0	0	0	0	27	25	27	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_990	0	0	0	0	0	0	0	0	0	0	35	0	9	18	0	3	0	0	0	0	0	0	0	0	0	0	85	87	80	0	0	0	0	0	0	0	43	16	22	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_991	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	2	0	0	0	0	0	0	0	1	16	14	10	17	1	4	9	0	0	0	0	0	9	0	2	1	2	59	56	110	24	12	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_992	0	5	8	7	0	0	0	0	0	0	7	0	7	11	28	14	42	0	1	0	3	5	3	2	0	0	36	43	24	5	15	10	15	0	7	6	9	9	4	0	0	0	5	0	0	1	7	13	12	7	12	10	5	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ASV_993	0	0	0	0	0	0	0	2	3	2	3	0	12	4	6	16	43	0	0	0	6	1	0	1	0	0	3	8	8	2	6	6	5	0	0	8	10	7	3	45	19	36	9	0	0	5	4	4	0	10	11	16	7	18	13	0	1	1	0	0	0	0	0	0	0	0	18	0	0	0	19
ASV_994	0	0	0	0	0	0	0	1	2	5	0	0	4	5	2	5	0	3	0	3	10	24	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	2	4	0	2	0	0	0	0	7	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	172	0	0	57	72
ASV_995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	104	145	0	5	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_996	0	35	42	74	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	81	0	63	85	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_997	0	0	0	0	0	0	0	0	0	0	7	0	8	1	28	20	45	0	0	0	0	0	0	0	0	0	110	82	92	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_998	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	124	167	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_999	1	0	2	0	0	0	0	0	0	0	11	0	19	13	5	7	5	0	0	0	0	0	0	0	0	0	38	44	18	39	62	51	0	3	0	0	16	7	19	10	11	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	3	12	1	0	0	0	0	0	0	2	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	0	0	0	0	3	0	0	1	0	0	0	0	0	0	29	23	42	0	1	0	109	44	88	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	1	0	0	0	0	0	0	9	0	11	4	4	7	2	0	0	0	0	0	0	0	0	0	29	42	27	0	0	0	0	5	0	0	29	30	24	0	0	0	3	0	4	0	0	0	0	43	34	64	8	3	2	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1002	0	0	0	0	0	0	0	0	0	0	113	0	101	108	0	0	1	0	0	0	0	0	0	0	0	0	30	27	12	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1003	3	0	0	0	0	0	0	0	0	0	0	19	0	0	11	3	12	0	0	0	0	0	7	0	0	0	0	2	0	1	2	6	0	0	0	0	45	35	36	86	62	61	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_1004	0	0	4	9	10	12	16	0	0	0	0	0	0	0	0	0	0	51	32	51	0	0	0	0	0	0	0	0	0	0	0	0	54	0	54	68	10	1	0	0	4	7	0	0	0	0	0	1	0	0	0	6	0	0	0	2	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0
ASV_1005	0	0	0	0	0	0	0	0	0	0	3	0	16	9	0	6	0	0	0	0	7	3	0	9	0	0	47	59	28	0	0	0	0	2	0	0	17	6	14	37	10	26	0	0	3	0	0	0	1	16	16	12	0	0	1	15	1	12	21	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1006	0	12	15	71	0	3	1	0	0	0	34	0	32	35	6	3	4	3	1	1	0	0	0	0	0	0	23	26	27	6	15	9	9	0	13	12	9	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_1007	0	0	0	0	0	0	0	0	0	0	42	0	48	43	10	18	22	0	0	1	0	0	0	0	0	0	11	16	5	10	29	23	1	1	0	1	11	3	5	2	0	2	0	0	0	0	1	0	0	1	1	1	19	38	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1008	0	0	0	0	8	12	11	0	0	0	8	0	12	6	84	126	120	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	120	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
