#ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1397	Eukaryota	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata
ASV_1398	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1399	Eukaryota	Annelida	Polychaeta	Capitellida	Capitellidae	Dasybranchus	unassigned
ASV_1400	Eukaryota	Ciliophora	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1401	Eukaryota	unknown	Dinophyceae	unknown	unknown	Spiniferites	Spiniferites ramosus
ASV_1402	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unknown	Pterosperma	Pterosperma cristatum
ASV_1403	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium conicum
ASV_1404	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	Cryothecomonas aestivalis
ASV_1405	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1406	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1407	Eukaryota	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium	Pentapharsodinium tyrrhenicum
ASV_1408	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	unassigned
ASV_1409	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	Aureococcus anophagefferens
ASV_1410	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1411	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	Oblongichytrium	unassigned
ASV_1412	Eukaryota	Chlorophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1413	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1414	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1415	Eukaryota	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group II DH145-EKD20
ASV_1416	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1417	Eukaryota	Cercozoa	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
ASV_1418	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	unassigned
ASV_1419	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1420	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina strobilus
ASV_1421	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1422	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1423	Eukaryota	Ciliophora	Spirotrichea	unknown	Strombidiidae	Strombidium	Strombidium sp. SNB99-2
ASV_1424	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
ASV_1425	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1426	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium conicum
ASV_1427	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	unassigned	unassigned	unassigned
ASV_1428	Eukaryota	Ciliophora	unknown	unknown	unknown	Cryptocaryon	unassigned
ASV_1429	Eukaryota	unknown	Bolidophyceae	Parmales	Triparmaceae	Bolidomonas	unassigned
ASV_1430	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	unassigned
ASV_1431	Eukaryota	Ciliophora	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1432	Eukaryota	unknown	unknown	unknown	unknown	Solenicola	unassigned
ASV_1433	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1434	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	unassigned	unassigned
ASV_1435	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1436	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	unassigned	unassigned
ASV_1437	Eukaryota	unknown	Oomycetes	Lagenidiales	unassigned	unassigned	unassigned
ASV_1438	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1439	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1440	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1441	Eukaryota	Ciliophora	Spirotrichea	unknown	Strombidiidae	Strombidium	Strombidium chlorophilum
ASV_1442	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1443	Eukaryota	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata
ASV_1444	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1445	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1446	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris
ASV_1447	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1448	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	unassigned
ASV_1449	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	Actinocyclus curvatulus
ASV_1450	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
ASV_1451	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1452	Eukaryota	Cercozoa	Thecofilosea	unknown	unknown	Mataza	Mataza hastifera
ASV_1453	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	unassigned
ASV_1454	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1455	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1456	Eukaryota	unknown	unknown	Telonemida	unknown	Telonema	unassigned
ASV_1457	Eukaryota	unknown	Dinophyceae	Peridiniales	Pfiesteriaceae	Pfiesteria	unassigned
ASV_1458	Eukaryota	unknown	Dinophyceae	unknown	unknown	Spiniferites	Spiniferites ramosus
ASV_1459	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1460	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	unassigned
ASV_1461	Eukaryota	Cercozoa	unknown	Thaumatomonadida	Thaumatomastigidae	unassigned	unassigned
ASV_1462	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	unassigned
ASV_1463	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
